classifier,dataset_name,n_sample,n_fold,n_draw,unweighted_area_under_roc,elapsed time (seconds),characteristics,options
SimpleCart,hayes-roth,1,3,11,0.590741,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=8;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-H -U -M 8"
SimpleCart,hayes-roth,1,3,12,0.910714,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-H -U -M 6"
SimpleCart,hayes-roth,1,3,13,0.590741,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=false;SimpleCart_minNumObj=9;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-U -M 9"
SimpleCart,hayes-roth,1,3,14,0.590741,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=7;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-H -U -M 7"
SimpleCart,hayes-roth,1,3,15,0.910714,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=false;SimpleCart_minNumObj=4;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-U -M 4"
SimpleCart,hayes-roth,1,3,16,0.500000,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=false;SimpleCart_minNumObj=10;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-U -M 10"
SimpleCart,hayes-roth,1,3,17,0.500000,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=true;SimpleCart_minNumObj=7;SimpleCart_numFoldsPruning=3;SimpleCart_useOneSE=true;","-C 1.0 -S 1 -M 7 -N 3 -A"
SimpleCart,hayes-roth,1,3,18,0.590741,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=false;SimpleCart_minNumObj=7;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-U -M 7"
SimpleCart,hayes-roth,1,3,19,0.500000,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=true;SimpleCart_minNumObj=9;SimpleCart_numFoldsPruning=9;SimpleCart_useOneSE=true;","-C 1.0 -S 1 -M 9 -N 9 -A"
SimpleCart,hayes-roth,1,3,20,0.910714,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=true;SimpleCart_minNumObj=2;SimpleCart_numFoldsPruning=9;SimpleCart_useOneSE=false;","-H -C 1.0 -S 1 -M 2 -N 9"
SimpleCart,hayes-roth,1,3,21,0.910714,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=false;SimpleCart_minNumObj=4;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-U -M 4"
SimpleCart,hayes-roth,1,3,22,0.910714,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-H -U -M 6"
SimpleCart,hayes-roth,1,3,23,0.889021,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=true;SimpleCart_minNumObj=2;SimpleCart_numFoldsPruning=9;SimpleCart_useOneSE=true;","-H -C 1.0 -S 1 -M 2 -N 9 -A"
SimpleCart,hayes-roth,1,3,24,0.910714,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=4;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-H -U -M 4"
SimpleCart,hayes-roth,1,3,25,0.910714,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=false;SimpleCart_minNumObj=4;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-U -M 4"
SimpleCart,hayes-roth,1,4,1,0.924074,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=4;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-H -U -M 4"
SimpleCart,hayes-roth,1,4,2,0.907804,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=true;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=5;SimpleCart_useOneSE=true;","-H -C 1.0 -S 1 -M 6 -N 5 -A"
