classifier,dataset_name,n_sample,n_fold,n_draw,unweighted_area_under_roc,elapsed time (seconds),characteristics,options
J48,hayes-roth,1,1,25,0.641311,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=false;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=9;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=5;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -J -O -M 9 -N 5 -A"
J48,hayes-roth,1,2,1,0.785206,0,"J48_pruning=confidenceFactor;J48_useMDLcorrection=false;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=9;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=null;J48_confidenceFactorValue=0.45;J48_useLaplace=false;J48_subtreeRaising=false;","-C 0.45 -J -O -M 9 -doNotMakeSplitPointActualValue -S"
J48,hayes-roth,1,2,2,0.672049,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=false;J48_binarySplits=false;J48_collapseTree=true;J48_minNumObj=8;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=6;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=false;","-R -Q 1 -J -M 8 -doNotMakeSplitPointActualValue -N 6 -A -S"
J48,hayes-roth,1,2,3,0.886111,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=true;J48_minNumObj=2;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=null;","-U -M 2 -doNotMakeSplitPointActualValue -A"
J48,hayes-roth,1,2,4,0.886111,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=false;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=3;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=6;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -J -O -M 3 -N 6 -A"
J48,hayes-roth,1,2,5,0.876882,0,"J48_pruning=unpruned;J48_useMDLcorrection=false;J48_binarySplits=true;J48_collapseTree=false;J48_minNumObj=8;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=null;","-U -J -B -O -M 8 -doNotMakeSplitPointActualValue -A"
J48,hayes-roth,1,2,6,0.785206,0,"J48_pruning=confidenceFactor;J48_useMDLcorrection=false;J48_binarySplits=true;J48_collapseTree=false;J48_minNumObj=9;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=0.15;J48_useLaplace=true;J48_subtreeRaising=true;","-C 0.15 -J -B -O -M 9 -A"
J48,hayes-roth,1,2,7,0.931929,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=5;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=9;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -O -M 5 -N 9 -A"
J48,hayes-roth,1,2,8,0.788116,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=6;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=6;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=true;","-R -Q 1 -O -M 6 -N 6"
J48,hayes-roth,1,2,9,0.658028,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=true;J48_minNumObj=9;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=5;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -M 9 -N 5 -A"
J48,hayes-roth,1,2,10,0.816555,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-U -O -M 10"
J48,hayes-roth,1,2,11,0.785206,0,"J48_pruning=confidenceFactor;J48_useMDLcorrection=false;J48_binarySplits=true;J48_collapseTree=true;J48_minNumObj=9;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=null;J48_confidenceFactorValue=0.05;J48_useLaplace=true;J48_subtreeRaising=false;","-C 0.05 -J -B -M 9 -doNotMakeSplitPointActualValue -A -S"
J48,hayes-roth,1,2,12,0.940344,0,"J48_pruning=unpruned;J48_useMDLcorrection=false;J48_binarySplits=false;J48_collapseTree=true;J48_minNumObj=4;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-U -J -M 4 -doNotMakeSplitPointActualValue"
J48,hayes-roth,1,2,13,0.924074,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=2;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=4;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=false;","-R -Q 1 -O -M 2 -N 4 -S"
J48,hayes-roth,1,2,14,0.837302,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=true;J48_collapseTree=false;J48_minNumObj=4;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=8;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -B -O -M 4 -N 8 -A"
J48,hayes-roth,1,2,15,0.948596,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=6;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=9;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=false;","-R -Q 1 -O -M 6 -N 9 -S"
J48,hayes-roth,1,2,16,0.940344,0,"J48_pruning=unpruned;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=true;J48_minNumObj=4;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=false;J48_subtreeRaising=null;","-U -M 4"
J48,hayes-roth,1,2,17,0.931929,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=false;J48_binarySplits=true;J48_collapseTree=true;J48_minNumObj=8;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=9;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -J -B -M 8 -doNotMakeSplitPointActualValue -N 9 -A"
J48,hayes-roth,1,2,18,0.876882,0,"J48_pruning=unpruned;J48_useMDLcorrection=false;J48_binarySplits=true;J48_collapseTree=false;J48_minNumObj=8;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=null;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=null;","-U -J -B -O -M 8 -doNotMakeSplitPointActualValue -A"
J48,hayes-roth,1,2,19,0.734676,0,"J48_pruning=confidenceFactor;J48_useMDLcorrection=false;J48_binarySplits=true;J48_collapseTree=false;J48_minNumObj=10;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=0.25;J48_useLaplace=false;J48_subtreeRaising=false;","-C 0.25 -J -B -O -M 10 -S"
J48,hayes-roth,1,2,20,0.918122,0,"J48_pruning=confidenceFactor;J48_useMDLcorrection=false;J48_binarySplits=true;J48_collapseTree=false;J48_minNumObj=4;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=null;J48_confidenceFactorValue=0.35;J48_useLaplace=true;J48_subtreeRaising=true;","-C 0.35 -J -B -O -M 4 -A"
J48,hayes-roth,1,2,21,0.785206,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=true;J48_collapseTree=true;J48_minNumObj=6;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=5;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -B -M 6 -N 5 -A"
J48,hayes-roth,1,2,22,0.886111,0,"J48_pruning=confidenceFactor;J48_useMDLcorrection=false;J48_binarySplits=false;J48_collapseTree=true;J48_minNumObj=2;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=null;J48_confidenceFactorValue=0.15;J48_useLaplace=false;J48_subtreeRaising=true;","-C 0.15 -J -M 2 -doNotMakeSplitPointActualValue"
J48,hayes-roth,1,2,23,0.788116,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=6;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=6;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -O -M 6 -doNotMakeSplitPointActualValue -N 6 -A"
J48,hayes-roth,1,2,24,0.937088,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=true;J48_binarySplits=true;J48_collapseTree=false;J48_minNumObj=4;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=3;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=false;","-R -Q 1 -B -O -M 4 -N 3 -A -S"
J48,hayes-roth,1,2,25,0.658028,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=false;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=9;J48_doNotMakeSplitPointActualValue=false;J48_numFolds=5;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=true;","-R -Q 1 -J -O -M 9 -N 5 -A"
J48,hayes-roth,1,3,1,0.845208,0,"J48_pruning=confidenceFactor;J48_useMDLcorrection=false;J48_binarySplits=false;J48_collapseTree=false;J48_minNumObj=9;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=null;J48_confidenceFactorValue=0.45;J48_useLaplace=false;J48_subtreeRaising=false;","-C 0.45 -J -O -M 9 -doNotMakeSplitPointActualValue -S"
J48,hayes-roth,1,3,2,0.699308,0,"J48_pruning=reducedErrorPruning;J48_useMDLcorrection=false;J48_binarySplits=false;J48_collapseTree=true;J48_minNumObj=8;J48_doNotMakeSplitPointActualValue=true;J48_numFolds=6;J48_confidenceFactorValue=null;J48_useLaplace=true;J48_subtreeRaising=false;","-R -Q 1 -J -M 8 -doNotMakeSplitPointActualValue -N 6 -A -S"
