classifier,dataset_name,n_sample,n_fold,n_draw,unweighted_area_under_roc,elapsed time (seconds),characteristics,options
DecisionTable,hayes-roth,1,2,10,0.556146,0,"DecisionTable_useIBk=true;DecisionTable_evaluationMeasure=rmse;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=2;GreedyStepwise_conservativeForwardSelection=false;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;","-I -E rmse -S weka.attributeSelection.GreedyStepwise -X 2"
DecisionTable,hayes-roth,1,2,11,0.653276,0,"DecisionTable_useIBk=false;DecisionTable_evaluationMeasure=acc;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=7;GreedyStepwise_conservativeForwardSelection=false;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;","-E acc -S weka.attributeSelection.GreedyStepwise -X 7"
DecisionTable,hayes-roth,1,2,12,0.761376,0,"DecisionTable_useIBk=false;DecisionTable_evaluationMeasure=auc;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=6;GreedyStepwise_conservativeForwardSelection=false;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;","-E auc -S weka.attributeSelection.GreedyStepwise -X 6"
DecisionTable,hayes-roth,1,2,13,0.653276,0,"DecisionTable_useIBk=true;DecisionTable_evaluationMeasure=acc;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=4;GreedyStepwise_conservativeForwardSelection=false;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;","-I -E acc -S weka.attributeSelection.GreedyStepwise -X 4"
DecisionTable,hayes-roth,1,2,14,0.761376,0,"DecisionTable_useIBk=false;DecisionTable_evaluationMeasure=mae;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=8;GreedyStepwise_conservativeForwardSelection=false;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;","-E mae -S weka.attributeSelection.GreedyStepwise -X 8"
DecisionTable,hayes-roth,1,2,15,0.761376,0,"DecisionTable_useIBk=false;DecisionTable_evaluationMeasure=auc;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=1;GreedyStepwise_conservativeForwardSelection=false;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;","-E auc -S weka.attributeSelection.GreedyStepwise -X 1"
DecisionTable,hayes-roth,1,2,16,0.556146,0,"DecisionTable_useIBk=true;DecisionTable_evaluationMeasure=acc;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=8;GreedyStepwise_conservativeForwardSelection=false;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;","-I -E acc -S weka.attributeSelection.GreedyStepwise -X 8"
DecisionTable,hayes-roth,1,2,17,0.761376,0,"DecisionTable_useIBk=false;DecisionTable_evaluationMeasure=mae;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=2;GreedyStepwise_conservativeForwardSelection=false;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;","-E mae -S weka.attributeSelection.GreedyStepwise -X 2"
DecisionTable,hayes-roth,1,2,18,0.761376,0,"DecisionTable_useIBk=false;DecisionTable_evaluationMeasure=mae;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=9;GreedyStepwise_conservativeForwardSelection=false;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;","-E mae -S weka.attributeSelection.GreedyStepwise -X 9"
DecisionTable,hayes-roth,1,2,19,0.556146,0,"DecisionTable_useIBk=false;DecisionTable_evaluationMeasure=acc;DecisionTable_search=weka.attributeSelection.GreedyStepwise;DecisionTable_crossVal=2;GreedyStepwise_conservativeForwardSelection=false;BestFirst_searchTermination=null;BestFirst_direction=null;GreedyStepwise_searchBackwards=false;","-E acc -S weka.attributeSelection.GreedyStepwise -X 2"
